Rank,Medical School Name,Black Graduates,Share Black,Share of Total Black Graduates,Graduation Rate
,,,,,
A. 1984 - 1999,,,,,
1,Howard University COM,998,0.666,0.068,0.845
2,Meharry Medical College,841,0.754,0.057,0.725
3,University of Illinois COM,429,0.093,0.029,0.737
4,Wayne State University SOM,379,0.094,0.026,0.791
5,Morehouse SOM,361,0.786,0.024,0.808
6,Lewis Katz SOM at Temple University,296,0.104,0.020,0.876
7,UNC at Chapel Hill SOM,290,0.096,0.020,0.842
8,UCLA David Geffen SOM,281,0.114,0.019,0.824
9,SUNY Downstate Medical Center COM,274,0.100,0.019,0.849
10,Rutgers New Jersey Medical School,264,0.102,0.018,0.825
B. 2000 - 2015,,,,,
1,Meharry Medical College,1052,0.659,0.059,0.842
2,Howard University COM,1042,0.777,0.058,0.777
3,Morehouse SOM,537,0.727,0.030,0.913
4,University of Illinois COM,443,0.094,0.025,0.805
5,University of Texas Medical Branch SOM,361,0.087,0.020,0.717
6,Wayne State University SOM,348,0.110,0.019,0.983
7,SUNY Downstate Medical Center COM,326,0.100,0.018,0.905
8,UNC at Chapel Hill SOM,289,0.115,0.016,0.778
9,Medical University of South Carolina COM,261,0.099,0.015,0.774
10,GWU SOM and Health Sciences,258,0.066,0.014,0.837
